path_id,initial_state,final_state,h_actions,h_path,h_cost,h_distance,h_time
27,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2275.4654471824833, -395.1011514864455, 1, 0, 0, 0, 0, 0, 0)","[(-0.08727, 0.1585562093577087), (-0.0, 0.1585562093577087), (-0.05236, 0.0), (-0.0, 0.12684496748616697), (-0.03491, 0.19026745122925046), (-0.0, 0.0), (-0.06981, 0.12684496748616697), (-0.05236, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (538.0867454671285, -12.73371881861552, 1.245720432145501, 0.18251150415991252, 0.5852655785513657, -0.024109300255904853, -0.08727, 0.1585562093577087, 3810.0), (664.1168295342594, -120.8160843462541, 4.233414351027833, 0.08252504091770126, -1.0465154883279784, -0.039127268487731764, -0.0, 0.1585562093577087, 4698.385792436375), (1317.9545125280074, -184.2192168806689, 1.1037152085636994, 0.16164404682947892, 0.10348781514369673, -0.009899153361537617, -0.05236, 0, 4758.385792436375), (1492.2876622682575, -362.8726590989434, 4.768859645796321, 0.083676456351669, -1.0465646820891439, -0.0351330171910644, -0.0, 0.12684496748616697, 5252.247680964084), (1822.010007995434, -347.82020347395854, 2.978044950245917, -0.08547334843897987, 1.0460916795672937, 0.06700785299735372, -0.03491, 0.19026745122925046, 6739.341948783001), (1896.892116215406, -352.0105554869585, 2.680416524389742, 0.02979522684997971, -1.047115598193353, -0.0031435709451222574, -0.0, 0, 6753.318005232695), (2071.4132665094776, -346.37936018353736, 1.2937349715625022, 0.14158874905437027, 1.047180228742274, 0.004654134552798078, -0.06981, 0.12684496748616697, 7150.479663838895), (2275.4620572348513, -394.8290375337949, 1.6203871206264635, 0.13093778425166458, 0.509472100607997, 0.005005946784370446, -0.05236, 0, 7171.1393007214765)]",7171.1393007214765,0.015518892956764393,543.3901791572571
28,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2124.2878205656684, -586.7343105781566, 1, 0, 0, 0, 0, 0, 0)","[(-0.01745, 0.0), (-0.08727, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (874.5144151462928, -220.33154424258512, 2.544785282924183, 0.08537061359454402, -0.18356803095166938, 0.0009570234662291785, -0.01745, 0, 60.0), (978.0973283528589, -189.93543798743005, 0.0014085194868490017, 0.1649827518588376, 0.38343622658622667, 0.07966340266609599, -0.08727, 0.12684496748616697, 487.61595179576625)]",487.61595179576625,22.105676664905545,83.53297257423401
29,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2141.2555535343777, 234.4823640456744, 1, 0, 0, 0, 0, 0, 0)","[(-0.03491, 0.19026745122925046), (-0.03491, 0.19026745122925046)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (877.5186911551583, 51.854315116787724, 1.9475585143648064, 0.14026906213529283, 0.7235752792703016, -0.03459499982669661, -0.03491, 0.19026745122925046, 6540.0), (1372.605982757533, 97.45914802862632, 0.020788291073853125, 0.030218042933348996, 0.43207140753866197, 0.11325538379655817, -0.03491, 0.19026745122925046, 10928.691033061128)]",10928.691033061128,14.229496440922237,91.37324666976929
30,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(1990.6403077373477, -43.7823125804858, 1, 0, 0, 0, 0, 0, 0)","[(-0.10472, 0.0), (-0.10472, 0.0), (-0.03491, 0.1585562093577087), (-0.06981, 0.1585562093577087)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (426.19767611646404, -39.754465256402604, 1.1096236684379228, 0.19600204234090854, 0.09950772117627389, 0.0010797198922726523, -0.10472, 0, 60.0), (847.888138219672, -77.07626684301135, 1.101501888361084, 0.19771821284582927, 0.08761346988619702, -4.227764552283579e-05, -0.10472, 0, 120.0), (1708.2143763771671, -65.11651453671536, 1.943014981272512, 0.14681433595621307, 0.3442168662001214, -0.03309276782841063, -0.03491, 0.1585562093577087, 3930.0), (1990.6119316382596, -43.269854763403266, 1.0867110135957352, 0.17966766429739534, 0.44522154298804617, -0.03212030644030804, -0.06981, 0.1585562093577087, 5771.41441370015)]",5771.41441370015,0.01252012707669586,448.58700799942017
31,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2287.2519222584106, -261.1350225967302, 1, 0, 0, 0, 0, 0, 0)","[(-0.03491, 0.0), (-0.01745, 0.12684496748616697), (-0.06981, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (671.5082271885556, -95.97125917870846, 1.6790257017535481, 0.12237678485287022, -0.024388067807622735, -0.0017741947486080952, -0.03491, 0, 60.0), (1798.3317913480491, -242.93212200034495, 3.165498154270978, 0.11690480762889163, -0.15031840541340033, -0.025248349685891475, -0.01745, 0.12684496748616697, 2040.0), (2287.2175312843137, -261.5352238140248, 1.4291191562675034, 0.15969768571287887, -0.15913371827227432, 0.003213760485742908, -0.06981, 0, 2094.7530325854277)]",2094.7530325854277,0.011212800811661018,706.2610199451447
32,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(1937.668367421266, -103.80068030804794, 1, 0, 0, 0, 0, 0, 0)","[(-0.05236, 0.0), (-0.06981, 0.1585562093577087), (-0.06981, 0.0), (-0.08727, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (561.4139249225163, -64.9998882979332, 1.558153133019857, 0.1424741561285474, -0.030059796757202523, 0.0013609798321558627, -0.05236, 0, 60.0), (1170.7788929110347, -49.418591054363176, 1.6100170934951015, 0.18289328121558238, 0.21407073040573066, -0.02620167981256763, -0.06981, 0.1585562093577087, 3870.0), (1663.0144697695735, -88.47386528728899, 1.3643456365277422, 0.1627271021195743, 0.012278631881262476, 0.0015108137400221945, -0.06981, 0, 3930.0), (1937.6540959835959, -104.08436682507406, 1.4009957740273487, 0.07768691095919275, 0.020094453710243564, 0.020843317866246058, -0.08727, 0.12684496748616697, 4969.684452548958)]",4969.684452548958,0.00899535933465996,563.6945106983185
33,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2081.348865197631, -405.45769186720594, 1, 0, 0, 0, 0, 0, 0)","[(-0.08727, 0.1585562093577087), (-0.0, 0.1585562093577087), (-0.01745, 0.0), (-0.10472, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (538.0867454671285, -12.73371881861552, 1.245720432145501, 0.18251150415991252, 0.5852655785513657, -0.024109300255904853, -0.08727, 0.1585562093577087, 3810.0), (664.1168295342594, -120.8160843462541, 4.233414351027833, 0.08252504091770126, -1.0465154883279784, -0.039127268487731764, -0.0, 0.1585562093577087, 4698.385792436375), (1666.1876450024488, -390.35716886999035, 2.514521751135092, 0.0864120038839955, -0.0854918654815069, 0.0006369769094119367, -0.01745, 0, 4758.385792436375), (2081.3258200190385, -406.02510100323207, 0.9554324164849626, 0.23099787257026352, 0.012214835786865785, -0.02121300608537292, -0.10472, 0, 4812.206453658923)]",4812.206453658923,0.010356607950395075,639.5480036735535
34,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2033.3426277805333, -258.7708079274749, 1, 0, 0, 0, 0, 0, 0)","[(-0.10472, 0.0), (-0.08727, 0.1585562093577087), (-0.01745, 0.0), (-0.03491, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (426.19767611646404, -39.754465256402604, 1.1096236684379228, 0.19600204234090854, 0.09950772117627389, 0.0010797198922726523, -0.10472, 0, 60.0), (965.44511292392, -50.66787885714223, 1.3331722392134722, 0.18810520091486618, 0.4773010874367276, -0.023900710048906156, -0.08727, 0.1585562093577087, 3870.0), (1808.1664671820918, -255.222241576378, 2.4955337553163135, 0.08566259239657538, -0.20281136832286079, 0.0006114725846691413, -0.01745, 0, 3930.0), (2033.32072750897, -258.45132507467474, 1.4402545420023523, 0.13042116131863682, -0.08643997001885638, -0.006088126424079578, -0.03491, 0, 3948.8995480853087)]",3948.8995480853087,0.010131992791779815,563.6237676143646
35,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2280.361989641859, -198.13920164474428, 1, 0, 0, 0, 0, 0, 0)","[(-0.06981, 0.0), (-0.05236, 0.0), (-0.06981, 0.0), (-0.06981, 0.0), (-0.06981, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (497.75280682810865, -49.725538360748125, 1.3046702752108372, 0.16434886474851018, 0.0688438748192099, -3.512977965317289e-05, -0.06981, 0, 60.0), (1059.3357935531046, -106.67929351949965, 1.5092024397699872, 0.14372206498202397, -0.014759663742617607, 0.00032118979412880605, -0.05236, 0, 120.0), (1558.150582158943, -147.06344020724077, 1.3028244118545351, 0.16464154050340543, 0.01888275605646501, -0.00024853082227492784, -0.06981, 0, 180.0), (2056.2168764862304, -191.0169235614913, 1.3048006825958838, 0.16451573911881856, 0.03806000744186743, -0.00013427537858113424, -0.06981, 0, 240.0), (2280.3538600641295, -197.91141111610546, 1.3175105776346754, 0.05241222958738535, 0.08846130914579492, 0.019554586270653557, -0.06981, 0.12684496748616697, 993.1943233172124)]",993.1943233172124,0.007318553382923613,744.4052994251251
36,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2159.888170618543, -44.299792246513164, 1, 0, 0, 0, 0, 0, 0)","[(-0.03491, 0.1585562093577087), (-0.05236, 0.12684496748616697), (-0.06981, 0.0), (-0.08727, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (860.120694073523, 7.601363352511649, 1.909494698458602, 0.14652460527815903, 0.36011784142912534, -0.033284211596317774, -0.03491, 0.1585562093577087, 3810.0), (1520.3594810237123, 8.70792144175371, 1.4169413331742644, 0.16672788749472334, 0.06752760467147971, -0.030744226927846535, -0.05236, 0.12684496748616697, 5790.0), (2017.2960799184586, -33.127794715341516, 1.3143483853274773, 0.16423283555142926, 0.026574226326308095, 0.00011224614543677269, -0.06981, 0, 5850.0), (2159.850681195031, -44.52608265153508, 1.2474589194905352, 0.17964486114856712, 0.03674252343542065, 0.002229028664812862, -0.08727, 0, 5868.942361056053)]",5868.942361056053,0.006358758485855861,500.25538754463196
37,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2291.8640551885487, -2.927844940749777, 1, 0, 0, 0, 0, 0, 0)","[(-0.06981, 0.0), (-0.03491, 0.19026745122925046), (-0.05236, 0.12684496748616697), (-0.06981, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (497.75280682810865, -49.725538360748125, 1.3046702752108372, 0.16434886474851018, 0.0688438748192099, -3.512977965317289e-05, -0.06981, 0, 60.0), (1381.497432142819, 34.195371976843546, 1.9278865025559024, 0.14634812286151347, 0.5708536332679033, -0.036062996535577915, -0.03491, 0.19026745122925046, 6600.0), (2020.4476867968046, 25.739603478723872, 1.1342804113833864, 0.17697127713517752, 0.04923664459662002, -0.0362102947004191, -0.05236, 0.12684496748616697, 8580.0), (2291.851127808561, -2.592247880894742, 1.3739047964049198, 0.16240104804136746, 0.0429960656880303, 0.0018534448418873392, -0.06981, 0, 8612.647268691033)]",8612.647268691033,0.009323119803830672,495.6933398246765
38,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2025.893049864061, -364.6829879890867, 1, 0, 0, 0, 0, 0, 0)","[(-0.10472, 0.0), (-0.10472, 0.0), (-0.0, 0.19026745122925046), (-0.03491, 0.0), (-0.06981, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (426.19767611646404, -39.754465256402604, 1.1096236684379228, 0.19600204234090854, 0.09950772117627389, 0.0010797198922726523, -0.10472, 0, 60.0), (847.888138219672, -77.07626684301135, 1.101501888361084, 0.19771821284582927, 0.08761346988619702, -4.227764552283579e-05, -0.10472, 0, 120.0), (1011.6892196333478, -241.8081551911143, 5.134366308878863, 0.036234496540006676, -1.046821538900955, -0.02379636331350624, -0.0, 0.19026745122925046, 1577.0205343693015), (1784.612814049481, -355.7278843655285, 2.1844167438914734, 0.11412669720168474, -0.12046800610898122, 0.005319939525443008, -0.03491, 0, 1637.0205343693015), (2025.856127717223, -364.0893957685822, 2.116026702773154, 0.11102749877125162, 0.08596727570737256, 0.034252854982135796, -0.06981, 0.12684496748616697, 2442.332514072782)]",2442.332514072782,0.023147374851085332,498.4010899066925
39,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2283.7019371557535, -391.4381833745126, 1, 0, 0, 0, 0, 0, 0)","[(-0.08727, 0.1585562093577087), (-0.0, 0.1585562093577087), (-0.01745, 0.0), (-0.05236, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (538.0867454671285, -12.73371881861552, 1.245720432145501, 0.18251150415991252, 0.5852655785513657, -0.024109300255904853, -0.08727, 0.1585562093577087, 3810.0), (664.1168295342594, -120.8160843462541, 4.233414351027833, 0.08252504091770126, -1.0465154883279784, -0.039127268487731764, -0.0, 0.1585562093577087, 4698.385792436375), (1666.1876450024488, -390.35716886999035, 2.514521751135092, 0.0864120038839955, -0.0854918654815069, 0.0006369769094119367, -0.01745, 0, 4758.385792436375), (2283.663680965862, -392.1509170920309, 2.2228704220575146, 0.05678049819019121, 0.09117651290045316, 0.037906040536358446, -0.05236, 0.12684496748616697, 6551.735510980734)]",6551.735510980734,0.025870206065359256,506.56547260284424
40,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2227.0788639627876, -222.01527908619747, 1, 0, 0, 0, 0, 0, 0)","[(-0.06981, 0.0), (-0.03491, 0.0), (-0.10472, 0.0), (-0.10472, 0.0), (-0.10472, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (497.75280682810865, -49.725538360748125, 1.3046702752108372, 0.16434886474851018, 0.0688438748192099, -3.512977965317289e-05, -0.06981, 0, 60.0), (1167.984456314528, -137.1084088796752, 1.7282407024149962, 0.12113789309927905, -0.026082260253596355, -0.0009939860042361393, -0.03491, 0, 120.0), (1612.6190301256186, -167.64405811645744, 1.1368085880821364, 0.1946369809457606, 0.13722986676596116, 0.0024441656414835476, -0.10472, 0, 180.0), (2035.0015106345404, -204.55094429665277, 1.0990616104721362, 0.19793620072909768, 0.09541143646667549, -0.00016984886432863384, -0.10472, 0, 240.0), (2227.0739013513185, -221.65884176896648, 1.102826127465899, 0.19749281575022437, 0.08704045461884388, 0.00010449329357705895, -0.10472, 0, 267.3337033219694)]",267.3337033219694,0.007038181650477945,640.606787443161
41,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2109.6362366908083, -237.86514197930205, 1, 0, 0, 0, 0, 0, 0)","[(-0.03491, 0.0), (-0.10472, 0.0), (-0.03491, 0.0), (-0.08727, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (671.5082271885556, -95.97125917870846, 1.6790257017535481, 0.12237678485287022, -0.024388067807622735, -0.0017741947486080952, -0.03491, 0, 60.0), (1114.5016777586711, -126.93862942833702, 1.1271793614295944, 0.19496247453833418, 0.13653025211525777, 0.0020450193589368294, -0.10472, 0, 120.0), (1782.5911022265952, -218.71441611378594, 1.7038433098547618, 0.12174385896483043, -0.017773136969296804, -0.00137162813829326, -0.03491, 0, 180.0), (2109.613661327965, -237.92246600429988, 1.1120273149972981, 0.18367336331830927, 0.14796522440275803, -0.002122548582777493, -0.08727, 0, 221.73313248235945)]",221.73313248235945,0.003727993012095837,645.8998444080353
42,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2250.875335236274, -416.50995519256577, 1, 0, 0, 0, 0, 0, 0)","[(-0.08727, 0.1585562093577087), (-0.0, 0.12684496748616697), (-0.01745, 0.0), (-0.08727, 0.0), (-0.08727, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (538.0867454671285, -12.73371881861552, 1.245720432145501, 0.18251150415991252, 0.5852655785513657, -0.024109300255904853, -0.08727, 0.1585562093577087, 3810.0), (655.2109621175695, -110.38312664706532, 3.8877366562043765, 0.04687878266567845, -1.046979777327868, -0.022197771911566362, -0.0, 0.12684496748616697, 4264.616665345278), (1650.4559945022197, -383.4348875995646, 2.533130012380216, 0.0861870480805499, -0.09222226726132517, 0.0007816003368586015, -0.01745, 0, 4324.616665345278), (2139.3848481161376, -404.2067345588047, 1.00419019283777, 0.20104637303716252, 0.08039684502168888, -0.012303877585813878, -0.08727, 0, 4384.616665345278), (2250.8520440279053, -416.3500663492738, 1.1476020478520148, 0.18203819836632495, 0.1523427945437374, -0.0007623382356686311, -0.08727, 0, 4399.044636486165)]",4399.044636486165,0.005009161413540249,321.86894726753235
43,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(1926.483715393486, -494.7464195108232, 1, 0, 0, 0, 0, 0, 0)","[(-0.10472, 0.12684496748616697), (-0.0, 0.1585562093577087), (-0.01745, 0.0), (-0.01745, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (469.61221194701676, -41.033192492547165, 1.0378654378283587, 0.2115337839642765, -0.03848147333276296, -0.02794662005724917, -0.10472, 0.12684496748616697, 1980.0), (605.8129263248303, -184.74626911315102, 4.651473392530192, 0.06655492443328412, -1.0465543079961692, -0.03238266657063911, -0.0, 0.1585562093577087, 2742.4228970110203), (1615.6012123109795, -447.83681135437814, 2.488625557379607, 0.08672419772761235, -0.07779072287030782, 0.00043531483602569584, -0.01745, 0, 2802.4228970110203), (1926.4139383410577, -498.4014847904521, 2.403157721407001, 0.08700019072273203, -0.17715652805398535, -0.00014897151492467714, -0.01745, 0, 2823.7865694125107)]",2823.7865694125107,0.07144810768645714,99.06662631034851
44,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2110.8496965236636, -521.6211628503152, 1, 0, 0, 0, 0, 0, 0)","[(-0.01745, 0.0), (-0.08727, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (874.5144151462928, -220.33154424258512, 2.544785282924183, 0.08537061359454402, -0.18356803095166938, 0.0009570234662291785, -0.01745, 0, 60.0), (978.0973283528589, -189.93543798743005, 0.0014085194868490017, 0.1649827518588376, 0.38343622658622667, 0.07966340266609599, -0.08727, 0.12684496748616697, 487.61595179576625)]",487.61595179576625,21.511246223045408,112.1514024734497
45,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2153.6901723191613, 74.61109160463637, 1, 0, 0, 0, 0, 0, 0)","[(-0.05236, 0.12684496748616697), (-0.03491, 0.19026745122925046), (-0.05236, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (660.969182514593, -29.707345614145495, 1.8335677563540949, 0.16057767699251144, -0.2231012980012716, -0.023939680197018632, -0.05236, 0.12684496748616697, 1980.0), (1544.5284466463158, 84.8016998677867, 1.4293060633117887, 0.1574107741913141, 0.3231935218020157, -0.04048119324860234, -0.03491, 0.19026745122925046, 8520.0), (2153.653439560349, 74.33198011189835, 1.4631056350396767, 0.18688817469989724, 0.23153967817056895, -0.012992688456831984, -0.05236, 0.12684496748616697, 10321.041782288115)]",10321.041782288115,0.01091191791505293,350.4029550552368
46,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2036.3562662672443, -575.5528307717549, 1, 0, 0, 0, 0, 0, 0)","[(-0.10472, 0.12684496748616697), (-0.0, 0.12684496748616697), (-0.01745, 0.0), (-0.01745, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (469.61221194701676, -41.033192492547165, 1.0378654378283587, 0.2115337839642765, -0.03848147333276296, -0.02794662005724917, -0.10472, 0.12684496748616697, 1980.0), (607.3059240707641, -186.427695467683, 4.447766687923694, 0.06441466045887437, -1.0471957229806546, -0.028155289613611186, -0.0, 0.12684496748616697, 2392.388805200983), (1613.3935578237963, -452.21911602342357, 2.500772349596689, 0.08657641194994387, -0.08145430088127234, 0.0005301167700353672, -0.01745, 0, 2452.388805200983), (2036.285333537917, -526.1627674896469, 2.479919944297129, 0.0862009254491263, -0.16738980356406383, 0.0004414863371434471, -0.01745, 0, 2481.1305795607705)]",2481.1305795607705,0.9005448122774548,106.27727055549622
47,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2157.62301782054, -593.8895832390114, 1, 0, 0, 0, 0, 0, 0)","[(-0.01745, 0.0), (-0.08727, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (874.5144151462928, -220.33154424258512, 2.544785282924183, 0.08537061359454402, -0.18356803095166938, 0.0009570234662291785, -0.01745, 0, 60.0), (978.0973283528589, -189.93543798743005, 0.0014085194868490017, 0.1649827518588376, 0.38343622658622667, 0.07966340266609599, -0.08727, 0.12684496748616697, 487.61595179576625)]",487.61595179576625,22.722567542431655,111.96185803413391
48,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2265.8475775106926, -109.34639433977308, 1, 0, 0, 0, 0, 0, 0)","[(-0.10472, 0.0), (-0.10472, 0.0), (-0.03491, 0.1585562093577087), (-0.10472, 0.0), (-0.06981, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (426.19767611646404, -39.754465256402604, 1.1096236684379228, 0.19600204234090854, 0.09950772117627389, 0.0010797198922726523, -0.10472, 0, 60.0), (847.888138219672, -77.07626684301135, 1.101501888361084, 0.19771821284582927, 0.08761346988619702, -4.227764552283579e-05, -0.10472, 0, 120.0), (1708.2143763771671, -65.11651453671536, 1.943014981272512, 0.14681433595621307, 0.3442168662001214, -0.03309276782841063, -0.03491, 0.1585562093577087, 3930.0), (2154.4914638955092, -94.04980338312932, 1.1589943983886577, 0.19331820702995867, 0.17920063353959056, 0.0036046630831691982, -0.10472, 0, 3990.0), (2265.8426660835244, -109.3794965158316, 1.4674454371909709, 0.16033238857466633, 0.025196477596939947, 0.004320780515340591, -0.06981, 0, 4004.028383413938)]",4004.028383413938,0.008711866084011947,698.9425950050354
49,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(1940.8142456155995, 236.12897628940405, 1, 0, 0, 0, 0, 0, 0)","[(-0.05236, 0.1585562093577087), (-0.05236, 0.19026745122925046)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (657.2564584509274, 2.567959212619077, 1.866635908207017, 0.16278845323293986, -0.4369541811192995, -0.027842707302383734, -0.05236, 0.1585562093577087, 3810.0), (921.5302158025564, 49.64684421047658, 0.013960246381545372, 0.02048484952177661, 0.4220057580668665, 0.11271971738077426, -0.05236, 0.19026745122925046, 6171.82510108618)]",6171.82510108618,18.884799595255462,71.74412989616394
50,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(1999.3276878673823, -236.01076724506746, 1, 0, 0, 0, 0, 0, 0)","[(-0.03491, 0.0), (-0.01745, 0.12684496748616697), (-0.08727, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (671.5082271885556, -95.97125917870846, 1.6790257017535481, 0.12237678485287022, -0.024388067807622735, -0.0017741947486080952, -0.03491, 0, 60.0), (1798.3317913480491, -242.93212200034495, 3.165498154270978, 0.11690480762889163, -0.15031840541340033, -0.025248349685891475, -0.01745, 0.12684496748616697, 2040.0), (1999.310895502078, -235.17971152972197, 1.5665758428463212, 0.16278948203420174, 0.5954849014367641, 0.015036114690436591, -0.08727, 0, 2061.8821850471736)]",2061.8821850471736,0.021379841692800296,614.6196753978729
